user,tweet-id,timestamp,url,likes,replies,retweets,story,
thankyouricky_,1041475910011166720,2018-09-16 23:56:21,/thankyouricky_/status/1041475910011166720,1,0,0,Michael,
DahlELama2,1041474865939795970,2018-09-16 23:52:12,/DahlELama2/status/1041474865939795970,2,0,0,Michael,
Michael_E_Orr,1041447071889453059,2018-09-16 22:01:45,/Michael_E_Orr/status/1041447071889453059,0,0,1,Michael,
Michael_E_Orr,1041446585312391168,2018-09-16 21:59:49,/Michael_E_Orr/status/1041446585312391168,0,0,1,Michael,
Michael_Tuba,1041437924519292928,2018-09-16 21:25:24,/Michael_Tuba/status/1041437924519292928,1,0,0,Michael,
1Whatever_Works,1041429363139506177,2018-09-16 20:51:23,/1Whatever_Works/status/1041429363139506177,1,0,0,Michael,
StMS_Principal,1041428415797182464,2018-09-16 20:47:37,/StMS_Principal/status/1041428415797182464,11,0,2,Michael,
SherylPrattERA,1041424440591036416,2018-09-16 20:31:50,/SherylPrattERA/status/1041424440591036416,6,1,3,Michael,
yungmammoth,1041423737483141120,2018-09-16 20:29:02,/yungmammoth/status/1041423737483141120,2,1,0,Michael,
janelle_elaine3,1041422597680971778,2018-09-16 20:24:30,/janelle_elaine3/status/1041422597680971778,6,0,0,Michael,
meeshyville,1041415083383914496,2018-09-16 19:54:39,/meeshyville/status/1041415083383914496,3459,67,1119,Michael,
honestpolitics1,1041414736699641857,2018-09-16 19:53:16,/honestpolitics1/status/1041414736699641857,0,1,0,Michael,
Michael_Spagat,1041403973209600001,2018-09-16 19:10:30,/Michael_Spagat/status/1041403973209600001,0,1,0,Michael,
AtomsksSanakan,1041401079890673666,2018-09-16 18:59:00,/AtomsksSanakan/status/1041401079890673666,1,1,0,Michael,
honestpolitics1,1041400945408729090,2018-09-16 18:58:28,/honestpolitics1/status/1041400945408729090,0,1,0,Michael,
AtomsksSanakan,1041400681863815168,2018-09-16 18:57:25,/AtomsksSanakan/status/1041400681863815168,1,0,1,Michael,
cdenisegayle,1041398116488904704,2018-09-16 18:47:13,/cdenisegayle/status/1041398116488904704,16,1,0,Michael,
Greenroom818,1041395766655438859,2018-09-16 18:37:53,/Greenroom818/status/1041395766655438859,4,1,0,Michael,
kevese_michael,1041392485820506112,2018-09-16 18:24:51,/kevese_michael/status/1041392485820506112,1,1,0,Michael,
Leszkovics4,1041387799340097543,2018-09-16 18:06:14,/Leszkovics4/status/1041387799340097543,0,1,0,Michael,
Michael_Spagat,1041385598295126017,2018-09-16 17:57:29,/Michael_Spagat/status/1041385598295126017,0,1,1,Michael,
Michael_Spagat,1041384460107874304,2018-09-16 17:52:57,/Michael_Spagat/status/1041384460107874304,1,1,0,Michael,
ClimateChangeIT,1041374073912217601,2018-09-16 17:11:41,/ClimateChangeIT/status/1041374073912217601,3,0,1,Michael,
pameladubsky49,1041373921482686464,2018-09-16 17:11:05,/pameladubsky49/status/1041373921482686464,1,0,1,Michael,
ZEROCO2_,1041372744078766080,2018-09-16 17:06:24,/ZEROCO2_/status/1041372744078766080,1,0,0,Michael,
Michael_S_Regan,1043285758541479936,2018-09-21 23:48:02,/Michael_S_Regan/status/1043285758541479936,8,0,6,Michael,
FOXBaltimore,1043283895955931136,2018-09-21 23:40:38,/FOXBaltimore/status/1043283895955931136,7,0,4,Michael,
lordjefury,1043283149512499200,2018-09-21 23:37:40,/lordjefury/status/1043283149512499200,1,0,0,Michael,
OKCFOX,1043278723548622848,2018-09-21 23:20:05,/OKCFOX/status/1043278723548622848,2,0,1,Michael,
KABBFOX29,1043276362721701888,2018-09-21 23:10:42,/KABBFOX29/status/1043276362721701888,1,0,2,Michael,
News4SA,1043276281406779393,2018-09-21 23:10:23,/News4SA/status/1043276281406779393,8,0,2,Michael,
vegasexpats,1042920399045111808,2018-09-20 23:36:14,/vegasexpats/status/1042920399045111808,3,0,1,Michael,
tictoc,1042911855948296192,2018-09-20 23:02:17,/tictoc/status/1042911855948296192,37,3,8,Michael,
CeeLeeMusic,1042908925501292548,2018-09-20 22:50:38,/CeeLeeMusic/status/1042908925501292548,5,3,3,Michael,
AllThingsGoodCo,1042908693954736128,2018-09-20 22:49:43,/AllThingsGoodCo/status/1042908693954736128,2,0,0,Michael,
BSteingraeber,1042898794940121088,2018-09-20 22:10:23,/BSteingraeber/status/1042898794940121088,2,0,0,Michael,
WiSkyline,1042898757128474624,2018-09-20 22:10:14,/WiSkyline/status/1042898757128474624,1,0,0,Michael,
Z1079,1042895590609235968,2018-09-20 21:57:39,/Z1079/status/1042895590609235968,2,0,1,Michael,
ASHPOfficial,1042894940760616961,2018-09-20 21:55:04,/ASHPOfficial/status/1042894940760616961,5,1,2,Michael,
GoldeeGreen,1042892639396347904,2018-09-20 21:45:55,/GoldeeGreen/status/1042892639396347904,0,0,1,Michael,
IanPople1,1042886405557571585,2018-09-20 21:21:09,/IanPople1/status/1042886405557571585,2,0,0,Michael,
USofDisaster,1042879162162323457,2018-09-20 20:52:22,/USofDisaster/status/1042879162162323457,4,2,0,Michael,
voltagead,1042871271493558272,2018-09-20 20:21:01,/voltagead/status/1042871271493558272,2,0,0,Michael,
JRobbo,1042868415973740546,2018-09-20 20:09:40,/JRobbo/status/1042868415973740546,1,0,1,Michael,
Apolline4729,1042854461016821762,2018-09-20 19:14:13,/Apolline4729/status/1042854461016821762,1,0,0,Michael,
sef_bar,1042851923647496193,2018-09-20 19:04:08,/sef_bar/status/1042851923647496193,2,0,4,Michael,
NGBLX,1042200597523382272,2018-09-18 23:56:00,/NGBLX/status/1042200597523382272,0,1,0,Michael,
VibeMagazine,1042198339838726150,2018-09-18 23:47:01,/VibeMagazine/status/1042198339838726150,51,1,17,Michael,
TheOGdrose,1042195993914232832,2018-09-18 23:37:42,/TheOGdrose/status/1042195993914232832,0,0,1,Michael,
wsvn,1042195564496998400,2018-09-18 23:36:00,/wsvn/status/1042195564496998400,68,3,17,Michael,
BenMcKeownPhoto,1042194483343974400,2018-09-18 23:31:42,/BenMcKeownPhoto/status/1042194483343974400,3,0,2,Michael,
NBCSports,1042194084365000705,2018-09-18 23:30:07,/NBCSports/status/1042194084365000705,98,3,23,Michael,
25NewsWEEK,1042194059190829056,2018-09-18 23:30:01,/25NewsWEEK/status/1042194059190829056,1,0,0,Michael,
7News,1042193046589386753,2018-09-18 23:25:59,/7News/status/1042193046589386753,75,3,9,Michael,
suntimes_sports,1042192800975073280,2018-09-18 23:25:01,/suntimes_sports/status/1042192800975073280,1,0,0,Michael,
82nd13,1042191536824315904,2018-09-18 23:20:00,/82nd13/status/1042191536824315904,1,0,0,Michael,
pbpsports,1042191295563919360,2018-09-18 23:19:02,/pbpsports/status/1042191295563919360,14,2,7,Michael,
1honeybunhead,1042189960772825090,2018-09-18 23:13:44,/1honeybunhead/status/1042189960772825090,0,0,1,Michael,
shomaristone,1042188749872889856,2018-09-18 23:08:55,/shomaristone/status/1042188749872889856,632,9,222,Michael,
1079thelink,1042187959670321153,2018-09-18 23:05:47,/1079thelink/status/1042187959670321153,4,0,1,Michael,
EmilyAWilmoth1,1042187700546285570,2018-09-18 23:04:45,/EmilyAWilmoth1/status/1042187700546285570,7,0,1,Michael,
tictoc,1042187252959469570,2018-09-18 23:02:58,/tictoc/status/1042187252959469570,61,3,13,Michael,
TWG_Athletics,1042186985870426113,2018-09-18 23:01:54,/TWG_Athletics/status/1042186985870426113,0,0,1,Michael,
ListenUpYallcom,1042186546877788161,2018-09-18 23:00:10,/ListenUpYallcom/status/1042186546877788161,3,0,0,Michael,
hot96tweets,1042558959477911552,2018-09-19 23:40:00,/hot96tweets/status/1042558959477911552,1,0,0,Michael,
TerezOwens,1042558381205012480,2018-09-19 23:37:42,/TerezOwens/status/1042558381205012480,0,0,1,Michael,
Feedshiphop,1042553301424922624,2018-09-19 23:17:31,/Feedshiphop/status/1042553301424922624,1,0,1,Michael,
MichaelJordannw,1042550922486808576,2018-09-19 23:08:04,/MichaelJordannw/status/1042550922486808576,0,0,1,Michael,
PeterVerry,1042550696027930624,2018-09-19 23:07:10,/PeterVerry/status/1042550696027930624,0,0,1,Michael,
USPatriotBrig,1042549421215379457,2018-09-19 23:02:06,/USPatriotBrig/status/1042549421215379457,6,0,4,Michael,
92QJamsBmore,1042543819261136902,2018-09-19 22:39:50,/92QJamsBmore/status/1042543819261136902,4,0,0,Michael,
hot1079atl,1042540589055651840,2018-09-19 22:27:00,/hot1079atl/status/1042540589055651840,4,0,2,Michael,
979thebeat,1042539028967563264,2018-09-19 22:20:48,/979thebeat/status/1042539028967563264,2,0,1,Michael,
juli_anna29,1042536637627031553,2018-09-19 22:11:18,/juli_anna29/status/1042536637627031553,2,0,0,Michael,
shihtzzu,1042535758437875712,2018-09-19 22:07:48,/shihtzzu/status/1042535758437875712,1,0,0,Michael,
MehAndUgh,1042535236654034944,2018-09-19 22:05:44,/MehAndUgh/status/1042535236654034944,1,1,0,Michael,
fox5ny,1042533824004022273,2018-09-19 22:00:07,/fox5ny/status/1042533824004022273,14,0,10,Michael,
_AfrotainmentTV,1042533813375643649,2018-09-19 22:00:05,/_AfrotainmentTV/status/1042533813375643649,1,0,0,Michael,
pam_nevill,1042533759197872128,2018-09-19 21:59:52,/pam_nevill/status/1042533759197872128,1,0,0,Michael,
FLOOKLYN,1042533435615707137,2018-09-19 21:58:35,/FLOOKLYN/status/1042533435615707137,123,3,33,Michael,
drocktrot,1042533398076637185,2018-09-19 21:58:26,/drocktrot/status/1042533398076637185,1,0,0,Michael,
Tangomitteckel,1041834633464307712,2018-09-17 23:41:47,/Tangomitteckel/status/1041834633464307712,0,1,0,Michael,
jah060689,1041826522682798081,2018-09-17 23:09:33,/jah060689/status/1041826522682798081,1,0,0,Michael,
seawaves_mag,1041816646195838981,2018-09-17 22:30:19,/seawaves_mag/status/1041816646195838981,3,0,1,Michael,
Hohheli,1041805915131990018,2018-09-17 21:47:40,/Hohheli/status/1041805915131990018,0,1,0,Michael,
Tangomitteckel,1041803075734958080,2018-09-17 21:36:23,/Tangomitteckel/status/1041803075734958080,0,1,0,Michael,
Tangomitteckel,1041796602149699584,2018-09-17 21:10:40,/Tangomitteckel/status/1041796602149699584,0,1,0,Michael,
JPolov,1041796177031774209,2018-09-17 21:08:58,/JPolov/status/1041796177031774209,2,0,0,Michael,
HalFairchild,1041794539638280192,2018-09-17 21:02:28,/HalFairchild/status/1041794539638280192,1,0,0,Michael,
Tangomitteckel,1041794368238174213,2018-09-17 21:01:47,/Tangomitteckel/status/1041794368238174213,0,3,0,Michael,
sueytonius,1041794161152872448,2018-09-17 21:00:58,/sueytonius/status/1041794161152872448,1,1,0,Michael,
