score,author,content,description,publishedAt,source,title,url,urlToImage
0,A.A. Newton,"Canada just became the second country in the world to legalize recreational cannabis on a federal level. Implementing a national cannabis system in a huge country with distinct provincial governments is, at best, an intricate, fraught, high-stakes projectand … [+7217 chars]","Canada just became the second country in the world to legalize recreational cannabis on a federal level. Implementing a national cannabis system in a huge country with distinct provincial governments is, at best, an intricate, fraught, high-stakes project—and…",2018-10-17T14:30:00Z,"{'id': None, 'name': 'Lifehacker.com'}",How to Buy Weed in Canada Now That It's Legal,https://lifehacker.com/how-to-buy-weed-in-canada-now-that-its-legal-1829786102,"https://i.kinja-img.com/gawker-media/image/upload/s--z_Q4aNtj--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/yjlvav35zz2jfzbyko7f.jpg"
1,IAN AUSTEN,"Do I believe there are going to be different players coming into the industry? Mr. Ripshtein said. I absolutely do. Only dried cannabis, oils and seeds will go on sale this month. But the industry is dreaming up a future that will include products like cannab… [+1236 chars]","The decision by Canada to become the first major economy to fully legalize marijuana this month has created a new, multibillion dollar industry.",2018-10-16T18:43:13Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Dreams of Big Profits as Cannabis Becomes Legal in Canada,https://www.nytimes.com/2018/10/16/world/canada/cannabis-legalization-industry.html,https://static01.nyt.com/images/2018/10/06/world/00marijuana-industry/00marijuana-industry-facebookJumbo.jpg
2,ALISHA HARIDASANI GUPTA,"You could track Canadas road to legalizing marijuana from many starting points. A major one came in 2013, when Justin Trudeau saw someone holding a sign advocating decriminalizing marijuana in British Columbia. Im actually not in favor of decriminalizing cann… [+1348 chars]",Here’s what you need to know to start your day.,2018-10-18T19:37:21Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Asia and Australia Edition: The Taliban, Khashoggi, India: Your Friday Briefing",https://www.nytimes.com/2018/10/18/briefing/the-taliban-khashoggi-india.html,https://static01.nyt.com/images/2018/10/18/briefing/19ambriefing-asia-promo/19ambriefing-asia-slide-CFDG-facebookJumbo.jpg
3,PENN BULLOCK,"At the time, his prospects of becoming prime minister seemed remote. But two years later, he defied expectations and came to power. On Wednesday, Mr. Trudeaus promise became reality as legal sales of recreational marijuana began in Canada. Over the past five … [+1184 chars]",Here’s what you need to know to start your day.,2018-10-19T04:25:19Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Europe Edition: Saudi Arabia, Afghanistan, Banksy: Your Friday Briefing",https://www.nytimes.com/2018/10/19/briefing/saudi-arabia-afghanistan-banksy.html,https://static01.nyt.com/images/2018/10/19/briefing/10192018ambriefing-euro-promo/10192018ambriefing-euro-slide-Y2DH-facebookJumbo.jpg
4,Johnny Lieu,"Marijuana became legal in Canada on Wednesday, and authorities are still trying to get used to it. Toronto's police have been pretty blunt about the matter, telling people to stop tattling on their neighbours for smoking weed or possessing pot plants. SEE ALS… [+2626 chars]","Marijuana became legal in Canada on Wednesday, and authorities are still trying to get used to it. Toronto's police have been pretty blunt about the matter, telling people to stop tattling on their neighbours for smoking weed or possessing pot plants. SEE ALS…",2018-10-18T01:52:27Z,"{'id': 'mashable', 'name': 'Mashable'}","Stop tattling on people smoking weed, Toronto police warn in cheeky tweets",https://mashable.com/article/toronto-police-marijuana-legal/,https://i.amz.mshcdn.com/O9Jz_PCmRhwMfg3HAQset9wm58Y=/1200x630/2018%2F10%2F18%2F7f%2F9e723f9a895a45cf8def4c576a9b0be5.68337.jpg
5,Marcus Gilmer,"At the stroke of midnight on Wednesday, October 17, 2018, the great people of Canada turned over a new leaf, becoming just the second country to legalize marijuana (Uruguay being the first). In legalizing weed, Prime Minister Justin Trudeau made good on a cam… [+2005 chars]","At the stroke of midnight on Wednesday, October 17, 2018, the great people of Canada turned over a new leaf, becoming just the second country to legalize marijuana (Uruguay being the first). In legalizing weed, Prime Minister Justin Trudeau made good on a cam…",2018-10-17T14:17:42Z,"{'id': 'mashable', 'name': 'Mashable'}",Pass the poutine: Weed is now legal in Canada,https://mashable.com/article/canada-legal-marijuana-twitter-jokes/,https://i.amz.mshcdn.com/drB1Iy4DATB48s_4cY0QszmEQPY=/1200x630/2018%2F10%2F17%2F2e%2F709d2e0a688d46aca0b489c66253d6fc.c0f77.jpg
6,Johnny Lieu,"Canada's recent marijuana legalization is set to bring a wave of economic benefits. While the country's government is set to benefit from taxes, and the cannabis industry is sure to grow, the policy has already done wonders for a Girl Guide in Edmonton. SEE A… [+1085 chars]","Canada's recent marijuana legalization is set to bring a wave of economic benefits. While the country's government is set to benefit from taxes, and the cannabis industry is sure to grow, the policy has already done wonders for a Girl Guide in Edmonton. SEE A…",2018-10-19T05:49:38Z,"{'id': 'mashable', 'name': 'Mashable'}",Enterprising Girl Guide sells cookies to Canadians waiting in line at cannabis store,https://mashable.com/article/canada-girl-guide-weed/,https://i.amz.mshcdn.com/CF6JIImMl7zquOq7bvkvx2SHMOY=/1200x630/2018%2F10%2F19%2F30%2F449a6b0dc93f4ae68ffecee6d7053ebb.2b453.jpg
7,CHRIS STANFORD,"At the time, his prospects of becoming prime minister seemed slim. But two years later, he defied expectations and came to power, and on Wednesday, legal sales of recreational marijuana began in Canada. Over the past five years, Mr. Trudeau carefully avoided … [+1137 chars]",A group of migrants waiting to receive food in Guatemala City. President Trump has threatened military action at the border to stop the group.,2018-10-19T09:44:15Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Afghanistan, Boston Red Sox, ‘Halloween’: Your Friday Briefing",https://www.nytimes.com/2018/10/19/briefing/afghanistan-boston-red-sox-halloween.html,https://static01.nyt.com/images/2018/10/19/world/19us-ambriefing-caravan/19us-ambriefing-caravan-facebookJumbo.jpg
8,ILIANA MAGRA,"The measures apply to England, Wales, and Scotland, while Northern Ireland intends to undertake similar legislative amendments. The Home Office also clarified that the legalization of cannabis-derived medicinal products did not clear the way toward legalizing… [+654 chars]","The home secretary said special clinicians would be able to provide such treatment, after two highly publicized cases of young epileptic patients put pressure on the government to review its policy.",2018-10-12T03:56:12Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",U.K. to Allow Prescriptions for Medicinal Cannabis,https://www.nytimes.com/2018/10/11/world/europe/uk-medical-cannabis.html,https://static01.nyt.com/images/2018/10/12/world/12cannabis-print/12cannabis-facebookJumbo.jpg
9,https://www.facebook.com/bbcnews,"Image copyright AFP As Canada became the second country to legalise marijuana on Wednesday, some areas faced their first major challenge as supply failed to meet demand. Customers queued for hours. Some retailers sold out on the first day, and shortages conti… [+1680 chars]","Elation is mixed with disappointment, as retailers quickly sell out and turn away customers.",2018-10-19T03:49:16Z,"{'id': 'bbc-news', 'name': 'BBC News'}","Cannabis in Canada: Shortages, fines and Girl Guide cookies",https://www.bbc.co.uk/news/world-us-canada-45910179,https://ichef.bbci.co.uk/news/1024/branded_news/36DA/production/_103924041_a2b0bdd9-7425-47da-b5b2-431dcba6ea63.jpg
